Temperature,Clone.plate,Replicate,Pregrowth.OD,Date,Sample.well,Population.ID,Clone.ID,Mating.type,ade6.allele,Evolution.treatment,Population.size,Experiment.ID,k,r,maxOD,genotype,Observation,Kasvu
30,1,1,0.507,28.6.2023,1,115,115.1,h-,M216,Fast,24,137,1.31,0.26,1.502,h-M216,30 1 1 1,
30,1,1,0.848,28.6.2023,2,99,99.1,h-,M216,Mean,24,73,1.21,0.19,1.359,h-M216,30 1 1 2,
30,1,1,1.559,28.6.2023,3,81,81.1,h+,M216,Slow,24,1,1.36,0.28,1.556,h+M216,30 1 1 3,
30,1,1,1.859,28.6.2023,4,anc,anc_h+_M216,h+,M216,anc,anc,322,1.48,0.29,1.616,h+M216,30 1 1 4,
30,1,1,0.238,28.6.2023,6,anc,anc_h- _M210,h-,M210,anc,anc,371,1.52,0.2,1.644,h-M210,30 1 1 6,
30,1,1,1.775,28.6.2023,7,95,95.1,h-,M210,Slow,24,57,1.42,0.29,1.578,h-M210,30 1 1 7,
30,1,1,1.614,28.6.2023,8,157,157.1,h+,M216,Extreme,24,305,1.43,0.23,1.64,h+M216,30 1 1 8,
30,1,1,1.53,28.6.2023,9,151,151.1,h+,M210,Extreme,24,281,1.41,0.26,1.605,h+M210,30 1 1 9,
30,1,1,1.556,28.6.2023,10,122,122.1,h+,M210,Fast,24,165,1.44,0.27,1.636,h+M210,30 1 1 10,
30,1,1,0.296,28.6.2023,11,anc,anc_h+_M210,h+,M210,anc,anc,385,0.5,0.18,0.682,h+M210,30 1 1 11,
30,1,1,1.505,28.6.2023,12,127,127.1,h-,M210,Fast,24,185,1.39,0.19,1.541,h-M210,30 1 1 12,
30,1,1,1.819,28.6.2023,13,anc,anc_h-_M216,h-,M216,anc,anc,388,1.41,0.27,1.543,h-M216,30 1 1 13,
30,1,1,1.66,28.6.2023,14,152,152.1,h+,M216,Extreme,24,285,1.28,0.22,1.455,h+M216,30 1 1 14,
30,1,1,0.836,28.6.2023,15,82,82.1,h-,M216,Slow,24,5,1.34,0.25,1.464,h-M216,30 1 1 15,
30,1,1,1.54,28.6.2023,16,118,118.1,h+,M210,Fast,24,149,1.39,0.32,1.596,h+M210,30 1 1 16,
30,1,1,1.825,28.6.2023,17,148,148.1,h-,M210,Extreme,24,269,1.38,0.26,1.555,h-M210,30 1 1 17,
30,1,1,0.259,28.6.2023,18,110,110.1,h-,M210,Mean,24,117,1.16,0.22,1.305,h-M210,30 1 1 18,
30,1,1,1.397,28.6.2023,19,113,113.1,h+,M216,Fast,24,129,1.36,0.27,1.539,h+M216,30 1 1 19,
30,1,1,0.513,28.6.2023,20,135,135.1,h+,M210,Intermediate,24,217,0.96,0.27,1.267,h+M210,30 1 1 20,
30,1,1,0.231,28.6.2023,21,119,119.1,h+,M210,Fast,24,153,1.25,0.2,1.403,h+M210,30 1 1 21,
30,1,1,1.496,28.6.2023,22,134,134.1,h+,M210,Intermediate,24,213,1.41,0.26,1.582,h+M210,30 1 1 22,
30,1,1,0.891,28.6.2023,23,102,102.1,h+,M210,Mean,24,85,1.31,0.28,1.483,h+M210,30 1 1 23,
30,1,1,1.811,28.6.2023,24,147,147.1,h-,M216,Extreme,24,265,1.46,0.29,1.662,h-M216,30 1 1 24,
30,1,1,0.366,28.6.2023,25,114,114.1,h-,M216,Fast,24,133,1.25,0.27,1.425,h-M216,30 1 1 25,
30,1,1,1.456,28.6.2023,26,108,108.1,h-,M216,Mean,24,109,1.33,0.26,1.519,h-M216,30 1 1 26,
30,1,1,1.176,28.6.2023,27,130,130.1,h-,M216,Intermediate,24,197,1.35,0.21,1.523,h-M216,30 1 1 27,
30,1,1,0.973,28.6.2023,28,129,129.1,h+,M216,Intermediate,24,193,1.29,0.21,1.489,h+M216,30 1 1 28,
30,1,1,0.884,28.6.2023,29,146,146.1,h-,M216,Extreme,24,261,1.19,0.18,1.317,h-M216,30 1 1 29,
30,1,1,1.525,28.6.2023,30,124,124.1,h-,M216,Fast,24,173,1.41,0.26,1.605,h-M216,30 1 1 30,
30,1,1,1.852,28.6.2023,31,anc,anc_h+_M216,h+,M216,anc,anc,386,1.38,0.3,1.515,h+M216,30 1 1 31,
30,1,1,1.315,28.6.2023,33,139,139.1,h+,M210,Intermediate,24,233,1.4,0.33,1.577,h+M210,30 1 1 33,
30,1,1,1.582,28.6.2023,34,anc,anc_h+_M210,h+,M210,anc,anc,337,1.43,0.24,1.553,h+M210,30 1 1 34,
30,1,1,1.41,28.6.2023,35,85,85.1,h-,M216,Slow,24,17,1.25,0.29,1.437,h-M216,30 1 1 35,
30,1,1,1.555,28.6.2023,36,153,153.1,h+,M216,Extreme,24,289,1.37,0.4,1.557,h+M216,30 1 1 36,
30,1,1,1.067,28.6.2023,37,anc,anc_h- _M210,h-,M210,anc,anc,323,1.37,0.22,1.493,h-M210,30 1 1 37,
30,1,1,1.667,28.6.2023,38,140,140.1,h-,M216,Intermediate,24,237,1.08,0.37,1.23,h-M216,30 1 1 38,
30,1,1,1.631,28.6.2023,39,143,143.1,h-,M210,Intermediate,24,249,1.28,0.29,1.424,h-M210,30 1 1 39,
30,1,1,1.554,28.6.2023,40,142,142.1,h-,M210,Intermediate,24,245,1.41,0.31,1.593,h-M210,30 1 1 40,
30,1,1,0.539,28.6.2023,41,123,123.1,h+,M210,Fast,24,169,1.38,0.28,1.582,h+M210,30 1 1 41,
30,1,1,1.545,28.6.2023,42,138,138.1,h+,M210,Intermediate,24,229,1.44,0.29,1.653,h+M210,30 1 1 42,
30,1,1,0.65,28.6.2023,43,150,150.1,h+,M210,Extreme,24,277,1.23,0.21,1.403,h+M210,30 1 1 43,
30,1,1,1.548,28.6.2023,44,116,116.1,h-,M210,Fast,24,141,1.35,0.29,1.603,h-M210,30 1 1 44,
30,1,1,1.291,28.6.2023,45,121,121.1,h+,M216,Fast,24,161,1.38,0.3,1.578,h+M216,30 1 1 45,
30,1,1,0.905,28.6.2023,46,131,131.1,h-,M216,Intermediate,24,201,1.33,0.22,1.55,h-M216,30 1 1 46,
30,1,1,1.313,28.6.2023,47,91,91.1,h+,M210,Slow,24,41,1.38,0.22,1.6,h+M210,30 1 1 47,
30,1,1,1.734,28.6.2023,48,104,104.1,h+,M216,Mean,24,93,1.15,0.3,1.286,h+M216,30 1 1 48,
30,1,1,1.623,28.6.2023,49,94,94.1,h-,M210,Slow,24,53,1.43,0.29,1.612,h-M210,30 1 1 49,
30,1,1,0.611,28.6.2023,50,154,154.1,h+,M210,Extreme,24,293,1.2,0.34,1.319,h+M210,30 1 1 50,
30,1,1,1.756,28.6.2023,52,136,136.1,h+,M216,Intermediate,24,221,1.48,0.32,1.697,h+M216,30 1 1 52,
30,1,1,1.805,28.6.2023,53,anc,anc_h-_M216,h-,M216,anc,anc,324,1.47,0.26,1.601,h-M216,30 1 1 53,
30,1,1,0.232,28.6.2023,54,97,97.1,h+,M216,Mean,24,65,1.08,0.22,1.241,h+M216,30 1 1 54,
30,1,1,0.333,28.6.2023,55,98,98.1,h-,M216,Mean,24,69,1.25,0.29,1.42,h-M216,30 1 1 55,
30,1,1,1.526,28.6.2023,56,103,103.1,h+,M210,Mean,24,89,1.34,0.26,1.547,h+M210,30 1 1 56,
30,1,1,1.724,28.6.2023,57,anc,anc_h- _M210,h-,M210,anc,anc,387,1.34,0.23,1.47,h-M210,30 1 1 57,
30,1,1,0.63,28.6.2023,58,84,84.1,h-,M210,Slow,24,13,1.18,0.32,1.339,h-M210,30 1 1 58,
30,1,1,1.799,28.6.2023,59,145,145.1,h+,M216,Extreme,24,257,1.4,0.3,1.54,h+M216,30 1 1 59,
30,1,1,1.409,28.6.2023,60,133,133.1,h-,M216,Intermediate,24,209,1.31,0.35,1.505,h-M216,30 1 1 60,
30,1,1,0.99,28.6.2023,61,117,117.1,h-,M216,Fast,24,145,1.31,0.27,1.512,h-M216,30 1 1 61,
30,1,1,1.779,28.6.2023,62,109,109.1,h+,M216,Mean,24,113,1.35,0.29,1.499,h+M216,30 1 1 62,
30,1,1,1.772,28.6.2023,63,anc,anc_h+_M210,h+,M210,anc,anc,321,1.39,0.26,1.519,h+M210,30 1 1 63,
30,1,1,0.385,28.6.2023,64,96,96.1,h-,M210,Slow,24,61,1.23,0.27,1.394,h-M210,30 1 1 64,
30,1,1,1.425,28.6.2023,65,144,144.1,h-,M210,Intermediate,24,253,1.31,0.31,1.499,h-M210,30 1 1 65,
30,1,1,1.806,28.6.2023,66,anc,anc_h+_M216,h+,M216,anc,anc,338,1.37,0.28,1.514,h+M216,30 1 1 66,
30,1,1,0.965,28.6.2023,67,128,128.1,h-,M210,Fast,24,189,1.35,0.24,1.53,h-M210,30 1 1 67,
30,1,1,0.705,28.6.2023,68,120,120.1,h+,M216,Fast,24,157,1.34,0.17,1.509,h+M216,30 1 1 68,
30,1,1,1.472,28.6.2023,69,83,83.1,h-,M216,Slow,24,9,1.36,0.29,1.543,h-M216,30 1 1 69,
30,1,1,1.799,28.6.2023,70,155,155.1,h+,M210,Extreme,24,297,1.33,0.35,1.527,h+M210,30 1 1 70,
30,1,1,1.776,28.6.2023,71,100,100.1,h-,M210,Mean,24,77,1.18,0.34,1.358,h-M210,30 1 1 71,
30,1,1,1.598,28.6.2023,72,90,90.1,h+,M210,Slow,24,37,1.45,0.36,1.643,h+M210,30 1 1 72,
30,1,1,1.833,28.6.2023,73,anc,anc_h+_M216,h+,M216,anc,anc,370,1.36,0.3,1.504,h+M216,30 1 1 73,
30,1,1,1.648,28.6.2023,74,149,149.1,h-,M216,Extreme,24,273,1.21,0.22,1.404,h-M216,30 1 1 74,
30,1,1,1.78,28.6.2023,75,158,158.1,h-,M210,Extreme,24,309,1.32,0.25,1.486,h-M210,30 1 1 75,
30,1,1,0.766,28.6.2023,76,105,105.1,h+,M216,Mean,24,97,1.28,0.18,1.436,h+M216,30 1 1 76,
30,1,1,1.573,28.6.2023,77,125,125.1,h+,M216,Fast,24,177,1.16,0.25,1.36,h+M216,30 1 1 77,
30,1,1,1.536,28.6.2023,78,126,126.1,h-,M210,Fast,24,181,1.37,0.29,1.538,h-M210,30 1 1 78,
30,1,1,1.1,28.6.2023,80,137,137.1,h+,M216,Intermediate,24,225,1.34,0.24,1.514,h+M216,30 1 1 80,
30,1,1,1.755,28.6.2023,81,87,87.1,h+,M210,Slow,24,25,1.33,0.28,1.5,h+M210,30 1 1 81,
30,1,1,1.62,28.6.2023,82,88,88.1,h+,M216,Slow,24,29,1.47,0.3,1.666,h+M216,30 1 1 82,
30,1,1,1.793,28.6.2023,83,anc,anc_h-_M216,h-,M216,anc,anc,340,1.34,0.3,1.47,h-M216,30 1 1 83,
30,1,1,1.793,28.6.2023,84,107,107.1,h+,M210,Mean,24,105,1.29,0.39,1.439,h+M210,30 1 1 84,
30,1,1,1.616,28.6.2023,85,160,160.1,h-,M210,Extreme,24,317,1.05,0.2,1.194,h-M210,30 1 1 85,
30,1,1,1.718,28.6.2023,86,92,92.1,h-,M216,Slow,24,45,1.48,0.32,1.668,h-M216,30 1 1 86,
30,1,1,1.597,28.6.2023,87,112,112.1,h-,M210,Mean,24,125,1.37,0.35,1.55,h-M210,30 1 1 87,
30,1,1,1.759,28.6.2023,88,101,101.1,h-,M216,Mean,24,81,1.19,0.33,1.363,h-M216,30 1 1 88,
30,1,1,1.558,28.6.2023,89,106,106.1,h+,M210,Mean,24,101,1.4,0.39,1.608,h+M210,30 1 1 89,
30,1,1,1.519,28.6.2023,90,111,111.1,h-,M210,Mean,24,121,1.39,0.25,1.598,h-M210,30 1 1 90,
30,1,1,1.653,28.6.2023,91,159,159.1,h-,M210,Extreme,24,313,1.46,0.24,1.619,h-M210,30 1 1 91,
30,1,1,0.903,28.6.2023,92,132,132.1,h-,M210,Intermediate,24,205,1.36,0.24,1.546,h-M210,30 1 1 92,
30,1,1,1.755,28.6.2023,93,anc,anc_h- _M210,h-,M210,anc,anc,339,1.33,0.26,1.458,h-M210,30 1 1 93,
30,1,1,0.406,28.6.2023,94,156,156.1,h-,M216,Extreme,24,301,1.31,0.18,1.47,h-M216,30 1 1 94,
30,1,1,1.716,28.6.2023,95,anc,anc_h+_M210,h+,M210,anc,anc,369,1.28,0.28,1.403,h+M210,30 1 1 95,
30,1,1,0.797,28.6.2023,96,86,86.1,h+,M210,Slow,24,21,1.35,0.21,1.521,h+M210,30 1 1 96,
30,1,1,1.556,28.6.2023,97,93,93.1,h+,M216,Slow,24,49,1.41,0.26,1.617,h+M216,30 1 1 97,
30,1,1,1.746,28.6.2023,98,anc,anc_h-_M216,h-,M216,anc,anc,372,1.14,0.25,1.284,h-M216,30 1 1 98,
30,1,1,1.588,28.6.2023,99,141,141.1,h+,M216,Intermediate,24,241,1.42,0.31,1.613,h+M216,30 1 1 99,
30,1,1,1.307,28.6.2023,100,89,89.1,h+,M216,Slow,24,33,1.32,0.19,1.487,h+M216,30 1 1 100,
30,1,2,0.507,28.6.2023,1,115,115.1,h-,M216,Fast,24,137,1.31,0.23,1.496,h-M216,30 1 2 1,
30,1,2,0.848,28.6.2023,2,99,99.1,h-,M216,Mean,24,73,1.07,0.2,1.213,h-M216,30 1 2 2,
30,1,2,1.559,28.6.2023,3,81,81.1,h+,M216,Slow,24,1,1.22,0.26,1.401,h+M216,30 1 2 3,
30,1,2,1.859,28.6.2023,4,anc,anc_h+_M216,h+,M216,anc,anc,322,1.34,0.25,1.471,h+M216,30 1 2 4,
30,1,2,0.238,28.6.2023,6,anc,anc_h- _M210,h-,M210,anc,anc,371,1.07,0.2,1.208,h-M210,30 1 2 6,
30,1,2,1.775,28.6.2023,7,95,95.1,h-,M210,Slow,24,57,1.32,0.26,1.469,h-M210,30 1 2 7,
30,1,2,1.614,28.6.2023,8,157,157.1,h+,M216,Extreme,24,305,1.35,0.23,1.55,h+M216,30 1 2 8,
30,1,2,1.53,28.6.2023,9,151,151.1,h+,M210,Extreme,24,281,1.28,0.27,1.459,h+M210,30 1 2 9,
30,1,2,1.556,28.6.2023,10,122,122.1,h+,M210,Fast,24,165,1.28,0.24,1.463,h+M210,30 1 2 10,
30,1,2,0.296,28.6.2023,11,anc,anc_h+_M210,h+,M210,anc,anc,385,1.35,0.18,1.479,h+M210,30 1 2 11,
30,1,2,1.505,28.6.2023,12,127,127.1,h-,M210,Fast,24,185,1.31,0.23,1.481,h-M210,30 1 2 12,
30,1,2,1.819,28.6.2023,13,anc,anc_h-_M216,h-,M216,anc,anc,388,1.3,0.24,1.429,h-M216,30 1 2 13,
30,1,2,1.66,28.6.2023,14,152,152.1,h+,M216,Extreme,24,285,1.25,0.22,1.417,h+M216,30 1 2 14,
30,1,2,0.836,28.6.2023,15,82,82.1,h-,M216,Slow,24,5,1.14,0.31,1.286,h-M216,30 1 2 15,
30,1,2,1.54,28.6.2023,16,118,118.1,h+,M210,Fast,24,149,1.2,0.3,1.401,h+M210,30 1 2 16,
30,1,2,1.825,28.6.2023,17,148,148.1,h-,M210,Extreme,24,269,1.25,0.25,1.413,h-M210,30 1 2 17,
30,1,2,0.259,28.6.2023,18,110,110.1,h-,M210,Mean,24,117,1.11,0.21,1.275,h-M210,30 1 2 18,
30,1,2,1.397,28.6.2023,19,113,113.1,h+,M216,Fast,24,129,1.18,0.23,1.344,h+M216,30 1 2 19,
30,1,2,0.513,28.6.2023,20,135,135.1,h+,M210,Intermediate,24,217,0.46,0.31,0.623,h+M210,30 1 2 20,
30,1,2,0.231,28.6.2023,21,119,119.1,h+,M210,Fast,24,153,1.02,0.2,1.184,h+M210,30 1 2 21,
30,1,2,1.496,28.6.2023,22,134,134.1,h+,M210,Intermediate,24,213,1.27,0.29,1.459,h+M210,30 1 2 22,
30,1,2,0.891,28.6.2023,23,102,102.1,h+,M210,Mean,24,85,1.17,0.24,1.335,h+M210,30 1 2 23,
30,1,2,1.811,28.6.2023,24,147,147.1,h-,M216,Extreme,24,265,1.32,0.32,1.526,h-M216,30 1 2 24,
30,1,2,0.366,28.6.2023,25,114,114.1,h-,M216,Fast,24,133,1.14,0.2,1.322,h-M216,30 1 2 25,
30,1,2,1.456,28.6.2023,26,108,108.1,h-,M216,Mean,24,109,1.21,0.3,1.398,h-M216,30 1 2 26,
30,1,2,1.176,28.6.2023,27,130,130.1,h-,M216,Intermediate,24,197,1.2,0.22,1.386,h-M216,30 1 2 27,
30,1,2,0.973,28.6.2023,28,129,129.1,h+,M216,Intermediate,24,193,1.19,0.29,1.381,h+M216,30 1 2 28,
30,1,2,0.884,28.6.2023,29,146,146.1,h-,M216,Extreme,24,261,1.18,0.19,1.326,h-M216,30 1 2 29,
30,1,2,1.525,28.6.2023,30,124,124.1,h-,M216,Fast,24,173,1.25,0.21,1.431,h-M216,30 1 2 30,
30,1,2,1.852,28.6.2023,31,anc,anc_h+_M216,h+,M216,anc,anc,386,1.27,0.25,1.404,h+M216,30 1 2 31,
30,1,2,1.315,28.6.2023,33,139,139.1,h+,M210,Intermediate,24,233,1.18,0.33,1.359,h+M210,30 1 2 33,
30,1,2,1.582,28.6.2023,34,anc,anc_h+_M210,h+,M210,anc,anc,337,1.32,0.22,1.455,h+M210,30 1 2 34,
30,1,2,1.41,28.6.2023,35,85,85.1,h-,M216,Slow,24,17,1.1,0.25,1.272,h-M216,30 1 2 35,
30,1,2,1.555,28.6.2023,36,153,153.1,h+,M216,Extreme,24,289,1.19,0.28,1.322,h+M216,30 1 2 36,
30,1,2,1.067,28.6.2023,37,anc,anc_h- _M210,h-,M210,anc,anc,323,1.31,0.22,1.427,h-M210,30 1 2 37,
30,1,2,1.667,28.6.2023,38,140,140.1,h-,M216,Intermediate,24,237,1.38,0.44,1.528,h-M216,30 1 2 38,
30,1,2,1.631,28.6.2023,39,143,143.1,h-,M210,Intermediate,24,249,1.16,0.25,1.296,h-M210,30 1 2 39,
30,1,2,1.554,28.6.2023,40,142,142.1,h-,M210,Intermediate,24,245,1.31,0.33,1.487,h-M210,30 1 2 40,
30,1,2,0.539,28.6.2023,41,123,123.1,h+,M210,Fast,24,169,1.24,0.23,1.419,h+M210,30 1 2 41,
30,1,2,1.545,28.6.2023,42,138,138.1,h+,M210,Intermediate,24,229,1.23,0.34,1.429,h+M210,30 1 2 42,
30,1,2,0.65,28.6.2023,43,150,150.1,h+,M210,Extreme,24,277,1.07,0.25,1.213,h+M210,30 1 2 43,
30,1,2,1.548,28.6.2023,44,116,116.1,h-,M210,Fast,24,141,1.13,0.28,1.32,h-M210,30 1 2 44,
30,1,2,1.291,28.6.2023,45,121,121.1,h+,M216,Fast,24,161,1.24,0.24,1.419,h+M216,30 1 2 45,
30,1,2,0.905,28.6.2023,46,131,131.1,h-,M216,Intermediate,24,201,1.21,0.22,1.385,h-M216,30 1 2 46,
