Competition.assay,Evolution.environment,Population.size,Evolved.strain.ID,Evolved.strain.mating.type,Evolved.strain.ade6.marker,Evolved.strain.genotype,Ancestor.genotype,Ancestor.mating.type,Ancestor.ade6.marker,Competition.replicate,Round,Picture.ID.initial,Evolved.strain.initial.CFU,Ancestor.initial.CFU,Competition.environment,Picture.ID.final,Evolved.strain.final.CFU,Ancestor.final.CFU
1,Extreme,24,2A,h+,M216,h+/M216,h+/M210,h+,M210,1,5.2,3441,162,128,Extreme,3511,338,55
2,Extreme,24,2A,h+,M216,h+/M216,h+/M210,h+,M210,2,5.2,3441,162,128,Extreme,3512,260,56
3,Extreme,24,2A,h+,M216,h+/M216,h+/M210,h+,M210,3,5.2,3441,162,128,Extreme,3525,315,65
4,Extreme,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,1,6.4,4140,9,80,Extreme,4282,106,87
5,Extreme,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,2,6.4,4140,9,80,Extreme,4283,99,23
6,Extreme,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,3,6.4,4140,9,80,Extreme,4284,186,96
7,Extreme,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,1,5.2,3443,98,84,Extreme,3519,318,37
8,Extreme,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,2,5.2,3443,98,84,Extreme,3528,262,31
9,Extreme,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,3,5.2,3443,98,84,Extreme,3544,296,10
10,Extreme,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,1,5.2,3444,131,86,Extreme,3515,116,79
11,Extreme,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,2,5.2,3444,131,86,Extreme,3521,151,87
12,Extreme,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,3,5.2,3444,131,86,Extreme,3547,43,59
13,Extreme,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,1,5.2,3445,98,81,Extreme,3522,253,129
14,Extreme,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,2,5.2,3445,98,81,Extreme,3532,155,14
15,Extreme,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,3,5.2,3445,98,81,Extreme,3539,353,49
16,Extreme,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,1,5.2,3446,77,95,Extreme,3526,63,16
17,Extreme,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,2,5.2,3446,77,95,Extreme,3529,133,36
18,Extreme,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,3,5.2,3446,77,95,Extreme,3551,227,33
19,Extreme,24,3D,h+,M210,h+/M210,h+/M216,h+,M216,1,5.2,3447,74,91,Extreme,3509,73,30
20,Extreme,24,3D,h+,M210,h+/M210,h+/M216,h+,M216,2,5.2,3447,74,91,Extreme,3524,134,38
21,Extreme,24,3D,h+,M210,h+/M210,h+/M216,h+,M216,3,5.2,3447,74,91,Extreme,3548,184,14
22,Extreme,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,1,5.2,3448,145,118,Extreme,3520,78,46
23,Extreme,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,2,5.2,3448,145,118,Extreme,3536,217,57
24,Extreme,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,3,5.2,3448,145,118,Extreme,3542,146,52
25,Extreme,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,1,5.2,3449,119,111,Extreme,3508,88,33
26,Extreme,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,2,5.2,3449,119,111,Extreme,3510,102,42
27,Extreme,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,3,5.2,3449,119,111,Extreme,3534,129,31
28,Extreme,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,1,5.2,3450,56,107,Extreme,3505,183,103
29,Extreme,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,2,5.2,3450,56,107,Extreme,3518,234,56
30,Extreme,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,3,5.2,3450,56,107,Extreme,3527,28,68
31,Extreme,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,1,5.2,3451,81,121,Extreme,3513,21,108
32,Extreme,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,2,5.2,3451,81,121,Extreme,3514,157,270
33,Extreme,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,3,5.2,3451,81,121,Extreme,3546,97,241
34,Extreme,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,1,5.2,3452,122,66,Extreme,3516,141,21
35,Extreme,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,2,5.2,3452,122,66,Extreme,3545,87,16
36,Extreme,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,3,5.2,3452,122,66,Extreme,3552,171,79
37,Extreme,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,1,5.2,3453,63,109,Extreme,3523,49,41
38,Extreme,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,2,5.2,3453,63,109,Extreme,3531,68,29
39,Extreme,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,3,5.2,3453,63,109,Extreme,3535,79,49
40,Extreme,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,1,5.2,3454,165,71,Extreme,3530,102,23
41,Extreme,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,2,5.2,3454,165,71,Extreme,3537,266,39
42,Extreme,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,3,5.2,3454,165,71,Extreme,3541,329,145
43,Extreme,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,1,5.2,3455,154,92,Extreme,3517,135,43
44,Extreme,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,2,5.2,3455,154,92,Extreme,3549,214,130
45,Extreme,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,3,5.2,3455,154,92,Extreme,3550,109,42
46,Extreme,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,1,5.2,3456,92,79,Extreme,3506,48,86
47,Extreme,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,2,5.2,3456,92,79,Extreme,3540,73,46
48,Extreme,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,3,5.2,3456,92,79,Extreme,3543,423,99
49,Extreme,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,1,5.1,3336,279,192,Extreme,3427,334,42
50,Extreme,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,2,5.1,3336,279,192,Extreme,3430,266,26
51,Extreme,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,3,5.1,3336,279,192,Extreme,3438,299,71
52,Extreme,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,1,5.1,3337,288,246,Extreme,3425,468,177
53,Extreme,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,2,5.1,3337,288,246,Extreme,3410,132,16
54,Extreme,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,3,5.1,3337,288,246,Extreme,3432,287,113
55,Extreme,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,1,5.1,3338,323,330,Extreme,3415,213,117
56,Extreme,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,2,5.1,3338,323,330,Extreme,3416,193,96
57,Extreme,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,3,5.1,3338,323,330,Extreme,3412,225,141
58,Extreme,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,1,5.1,3339,360,11,Extreme,3409,86,0
59,Extreme,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,2,5.1,3339,360,11,Extreme,3411,240,0
60,Extreme,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,3,5.1,3339,360,11,Extreme,3421,670,2
61,Extreme,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,1,6.4,4131,15,187,Extreme,4274,59,313
62,Extreme,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,2,6.4,4131,15,187,Extreme,4279,57,538
63,Extreme,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,3,6.4,4131,15,187,Extreme,4280,40,207
64,Extreme,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,1,5.1,3341,179,281,Extreme,3406,134,125
65,Extreme,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,2,5.1,3341,179,281,Extreme,3414,102,61
66,Extreme,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,3,5.1,3341,179,281,Extreme,3440,201,65
67,Extreme,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,1,5.1,3342,212,274,Extreme,3413,117,97
68,Extreme,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,2,5.1,3342,212,274,Extreme,3424,105,84
69,Extreme,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,3,5.1,3342,212,274,Extreme,3434,247,309
